Country,State,District,Year,Class Studying,"Schools Surveyed (UOM:Number), Scaling Factor:1","Students Surveyed (UOM:Number), Scaling Factor:1","Average Performance Of Students On E302 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E303 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E304 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E305 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E307 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E309 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E310 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E311 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E313 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E314 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On L304 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On L312 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M301 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M302 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M303 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M304 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M305 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M306 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M309 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M311 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M312 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M317 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M318 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M319 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1"
India,Andaman And Nicobar Islands,Nicobars,"Calendar Year (Jan - Dec), 2021",3,45,681,69.39,47.13,76.35,64.03,63.76,69.98,78.45,63.95,41.66,75.51,71.27,67.86,55.19,78.89,56.74,75.65,60.46,50.95,39.66,63.31,59.17,84.04,62.51,60.41
India,Andaman And Nicobar Islands,North And Middle Andaman,"Calendar Year (Jan - Dec), 2021",3,81,1299,67.44,56.43,70.93,63.99,59.14,69.09,71.67,57.62,46.22,66.53,63.89,59.16,50.52,71.02,48.9,60.85,61.61,58.64,43.62,61.06,60.61,72.32,52.93,54.41
India,Andaman And Nicobar Islands,South Andamans,"Calendar Year (Jan - Dec), 2021",3,81,1782,63.9,41.36,63.65,48.55,58.63,61.74,60.13,55.49,36.37,52.48,62.11,59.19,44.19,62.76,40.67,49.39,42.76,34.05,36.94,50.09,39.72,64.7,49.64,44.45
India,Andhra Pradesh,Ananthapuramu,"Calendar Year (Jan - Dec), 2021",3,144,3132,52.88,40.79,53.81,42.89,50.92,53.82,59.38,43.69,33.34,47.08,46.9,46.56,40.18,64.05,46.04,54.43,43.41,43.39,39.84,43.06,43.94,57.98,47.13,45.13
India,Andhra Pradesh,East Godavari,"Calendar Year (Jan - Dec), 2021",3,102,2121,59.83,46.13,66.34,50.65,56.04,61.34,67.85,55.84,35.01,57.76,59.88,55.87,46.51,69.04,55.41,60.14,50.6,48.16,47.46,51.69,52.78,68.51,49.55,54.74
India,Andhra Pradesh,Guntur,"Calendar Year (Jan - Dec), 2021",3,180,3948,66.54,51.91,68.23,54.23,63.62,71.99,72.64,59.01,41.18,65.4,66.31,61.41,52.62,73.09,59.16,64.98,58.21,51.6,47.59,56.35,54.11,70.21,61.09,60.79
India,Andhra Pradesh,Krishna,"Calendar Year (Jan - Dec), 2021",3,177,3507,57.54,44.14,60.59,44.15,55.86,60.98,60.98,48.3,39.21,52.47,55.18,51.66,49.64,67.41,47.67,54.66,46.27,44.32,34.61,45.7,44.23,64.45,48.17,47.66
India,Andhra Pradesh,Kurnool,"Calendar Year (Jan - Dec), 2021",3,132,3384,52.41,37.84,57.4,40.85,51.85,62.45,56.77,42.49,31.35,48.27,53.73,50.43,38.59,63.7,41.45,50.33,42.57,38.11,40.34,40.54,48.64,61.52,42.63,52.94
India,Andhra Pradesh,Prakasam,"Calendar Year (Jan - Dec), 2021",3,183,3690,55.39,44.19,56.93,43.96,52.57,57.21,60.52,45.69,31.73,50.97,54.67,49.27,42.31,64.46,48.89,60.81,51.16,43.69,42.59,42.78,47.74,61.32,48.8,45.21
India,Andhra Pradesh,Srikakulam,"Calendar Year (Jan - Dec), 2021",3,123,1887,50.86,41.73,54.48,40.63,50.58,63.29,58.94,44.61,35.27,46.08,51.64,48.18,45.34,64.34,44.29,54.91,43.46,39.34,38.14,51.46,45.63,61.44,47.83,42.74
