Country,State,District,Year,Class,"Number Of Schools Surveyed (UOM:Number), Scaling Factor:1","Number Of Students Surveyed (UOM:Number), Scaling Factor:1","Learning Outcomes Of Environmental Studies(Evs)_E403 (UOM:%(Percentage)), Scaling Factor:1","Learning Outcomes Of Environmental Studies(Evs)_E410 (UOM:%(Percentage)), Scaling Factor:1","Learning Outcomes Of Environmental Studies(Evs)_E501 (UOM:%(Percentage)), Scaling Factor:1","Learning Outcomes Of Environmental Studies(Evs)_E503 (UOM:%(Percentage)), Scaling Factor:1","Learning Outcomes Of Environmental Studies(Evs)_E504 (UOM:%(Percentage)), Scaling Factor:1","Learning Outcomes Of Environmental Studies(Evs)_E505 (UOM:%(Percentage)), Scaling Factor:1","Learning Outcomes Of Environmental Studies(Evs)_E506 (UOM:%(Percentage)), Scaling Factor:1","Learning Outcomes Of Environmental Studies(Evs)_E507 (UOM:%(Percentage)), Scaling Factor:1","Learning Outcomes Of Environmental Studies(Evs)_E508 (UOM:%(Percentage)), Scaling Factor:1","Learning Outcomes Of Environmental Studies(Evs)_E509 (UOM:%(Percentage)), Scaling Factor:1","Learning Outcomes Of Environmental Studies(Evs)_E510 (UOM:%(Percentage)), Scaling Factor:1","Learning Outcomes Of Environmental Studies(Evs)_E512 (UOM:%(Percentage)), Scaling Factor:1","Learning Outcomes Of Environmental Studies(Evs)_E513 (UOM:%(Percentage)), Scaling Factor:1","Learning Outcomes Of Language_L504 (UOM:%(Percentage)), Scaling Factor:1","Learning Outcomes Of Language_L508 (UOM:%(Percentage)), Scaling Factor:1","Learning Outcomes Of Mathematics_M401 (UOM:%(Percentage)), Scaling Factor:1","Learning Outcomes Of Mathematics_M412 (UOM:%(Percentage)), Scaling Factor:1","Learning Outcomes Of Mathematics_M418 (UOM:%(Percentage)), Scaling Factor:1","Learning Outcomes Of Mathematics_M421 (UOM:%(Percentage)), Scaling Factor:1","Learning Outcomes Of Mathematics_M501 (UOM:%(Percentage)), Scaling Factor:1","Learning Outcomes Of Mathematics_M504 (UOM:%(Percentage)), Scaling Factor:1","Learning Outcomes Of Mathematics_M505 (UOM:%(Percentage)), Scaling Factor:1","Learning Outcomes Of Mathematics_M506 (UOM:%(Percentage)), Scaling Factor:1","Learning Outcomes Of Mathematics_M508 (UOM:%(Percentage)), Scaling Factor:1","Learning Outcomes Of Mathematics_M509 (UOM:%(Percentage)), Scaling Factor:1","Learning Outcomes Of Mathematics_M512 (UOM:%(Percentage)), Scaling Factor:1","Learning Outcomes Of Mathematics_M513 (UOM:%(Percentage)), Scaling Factor:1","Learning Outcomes Of Mathematics_M514 (UOM:%(Percentage)), Scaling Factor:1","Learning Outcomes Of Mathematics_M515 (UOM:%(Percentage)), Scaling Factor:1","Learning Outcomes Of Mathematics_M516 (UOM:%(Percentage)), Scaling Factor:1"
India,Andaman And Nicobar Islands,Nicobars,"Calendar Year (Jan - Dec), 2021",5,45,705,47.84,52.38,54.41,53.53,56.78,59.26,56.75,45.29,48.61,57.74,50.46,59.58,40.61,,57.69,51.66,36.82,41.51,44.38,56.52,45.06,60.06,43.28,49.1,52.63,38.76,52.06,40.05,48.7,47.47
India,Andaman And Nicobar Islands,North And Middle Andaman,"Calendar Year (Jan - Dec), 2021",5,84,1284,52.57,57.14,44.42,60.77,56.6,58.93,52.04,48.52,53.03,63.84,60.88,56.99,48.82,,58.18,51.18,36.02,49.04,44.94,59.77,56.47,60.16,42.64,45.51,56.34,41.48,48.01,45.14,50.16,53.64
India,Andaman And Nicobar Islands,South Andamans,"Calendar Year (Jan - Dec), 2021",5,72,1638,46.14,45.52,48.48,45.23,44.26,49.17,46.99,38.62,44.73,63.86,45.75,52.19,36.42,,54.5,43.54,26.96,40.29,32.55,57.71,42.05,54.82,34.59,33.59,48.73,33.74,34.25,37.61,40.34,40.22
India,Andhra Pradesh,Ananthapuramu,"Calendar Year (Jan - Dec), 2021",5,144,3135,44.77,40.37,42.12,44.36,41.59,40.31,43.19,35.44,37.97,52.56,50.53,44.89,28.11,,49.01,40.94,37.83,41.32,34.24,55.95,44.64,49.57,33.05,40.88,35.37,35.74,36.65,40.87,43.78,41.87
India,Andhra Pradesh,East Godavari,"Calendar Year (Jan - Dec), 2021",5,108,2436,49.77,46.46,42.52,51.42,47.37,43.81,46.9,39.34,42.52,57.68,52.23,51.8,44.27,,51.08,42.46,38.72,46.42,40.4,55.2,47.15,54.19,40.62,40.98,37.09,39.67,41.55,39.31,46.43,47.54
India,Andhra Pradesh,Guntur,"Calendar Year (Jan - Dec), 2021",5,168,3681,43.63,41.71,38.35,42.28,42.2,38.41,42.75,33.75,40.05,54.15,49.31,46.02,32.79,,46.71,43.33,33.47,39.73,40.11,53.1,49.8,55.07,37.39,40.27,37.38,39.12,38.69,42.19,43.85,42.99
India,Andhra Pradesh,Krishna,"Calendar Year (Jan - Dec), 2021",5,156,3669,34.53,35.22,31.98,40.99,33.91,33.78,39.31,28.99,29.27,47.7,44.78,40.89,30.85,,42.34,35.38,27.39,33.94,31.99,47.84,39.97,47.41,33.62,33.63,30.66,31.04,31.06,32.39,37.73,39.49
India,Andhra Pradesh,Kurnool,"Calendar Year (Jan - Dec), 2021",5,132,3321,40.35,37.75,36.14,44.4,41.19,37.4,40.67,32.17,37.39,53.4,50.86,47.2,31.44,,47.71,39.26,30.32,41.14,35.37,52.7,43.74,51.64,32.45,38.05,35.3,33.18,33.64,37.03,39.97,43.39
India,Andhra Pradesh,Prakasam,"Calendar Year (Jan - Dec), 2021",5,174,3654,46.91,43.01,39.53,47.46,45.8,41.92,47.43,30.42,39.45,51.3,56.1,51.97,36.1,,46.74,45.76,34.9,45.64,36.87,52.93,50.24,51.42,40.63,39.8,34.92,39.46,36.54,42.86,42.48,45.44
India,Andhra Pradesh,Srikakulam,"Calendar Year (Jan - Dec), 2021",5,108,1965,40.44,41.04,40.14,46.46,43.46,38.85,39.7,36.53,40.72,54.44,53.67,45.25,33.97,,46.31,44.59,25.93,42.75,40.09,54.01,47.63,53.79,36.65,39.43,32.28,37.7,38.05,41.33,43.72,41.9
India,Andhra Pradesh,Visakhapatnam,"Calendar Year (Jan - Dec), 2021",5,156,3714,43.58,39.79,43.7,47.34,41.95,39.72,44.08,33.43,38.88,53.84,48.58,50.87,33.06,,49.69,39.87,30.08,36.94,36.48,52.86,42.23,52.61,33.66,33.85,39.13,31.82,34.31,32.43,37.62,44.86
India,Andhra Pradesh,Vizianagaram,"Calendar Year (Jan - Dec), 2021",5,129,2529,44.59,42.59,44.63,47.56,46.4,34.36,42.81,38.8,43.43,56.04,51.42,49.18,31.24,,49.96,44.14,35.53,46.92,41.91,56.48,49.9,53.91,37.8,39.55,37.23,35.74,37.39,40.99,45.98,46.2
India,Andhra Pradesh,West Godavari,"Calendar Year (Jan - Dec), 2021",5,156,3111,45.5,36.63,32.36,41.56,41.8,36.63,43.49,35.4,37.4,52.36,45.59,46.53,34.21,,44.52,37.25,32.1,36.75,33.93,51.04,44.15,53.7,35.77,37.09,35.7,32.6,34.29,35.97,37.4,43.83
India,Arunachal Pradesh,Anjaw,"Calendar Year (Jan - Dec), 2021",5,54,558,43.72,43.87,52.83,50.01,48.48,47.52,39.41,38.18,36.79,61.85,48.86,57.01,30.61,,56.85,42.34,22.68,41.5,38.61,61.74,38.64,50.08,34.97,27.96,43.78,25.25,20.68,30.44,37.46,50.22
India,Arunachal Pradesh,Changlang,"Calendar Year (Jan - Dec), 2021",5,96,1911,35.1,42,42.23,41.11,40.4,40.6,39.19,30.17,30.76,45.54,43.38,44.07,30.22,,43.33,32.11,23.97,29.65,30.6,47.57,35.55,45.39,25.7,29.32,40.19,28.04,27.22,27.83,32.61,37.61
India,Arunachal Pradesh,Dibang Valley,"Calendar Year (Jan - Dec), 2021",5,12,132,46.55,52.36,57.48,57.23,53.64,51.39,44.38,46.89,48.08,52.12,35.37,73.26,30.64,,58.29,40.77,37.64,22.12,17,66.51,35.12,66.01,29.33,22.12,39.27,32.77,15.68,26.87,45.77,40.49
India,Arunachal Pradesh,East Kameng,"Calendar Year (Jan - Dec), 2021",5,84,1596,40.31,41.41,45.08,41.43,40.03,45.54,40.93,33.6,34.1,51.16,41.34,46.73,29.32,,46.62,40.19,25.93,36.04,33,49.13,39.1,46.25,30.07,32.81,39.2,28.98,22.81,31.8,40.25,41.77
India,Arunachal Pradesh,East Siang,"Calendar Year (Jan - Dec), 2021",5,81,1635,40.04,41.74,49.28,48.87,42.52,47.12,42.88,41.38,36.37,51.68,40.98,51,31.11,,50.22,33.86,24.34,33.93,31.7,53.74,41.49,51.31,30,32.14,45.55,27.95,28.63,28.3,39.78,46.88
India,Arunachal Pradesh,Kamle,"Calendar Year (Jan - Dec), 2021",5,42,693,42.91,50.55,49.1,46.88,43.48,47.31,48.51,38.2,34.42,56.64,50.19,42.69,28.78,,54.39,38.46,29.35,35.64,44.9,57.95,37.7,46.79,34.9,33.22,39.77,32.92,33.24,39.01,45.23,38.48
India,Arunachal Pradesh,Kra Daadi,"Calendar Year (Jan - Dec), 2021",5,84,792,50.45,57.51,49.14,47.9,61.17,49.5,44.21,40.45,40.23,50.34,49.93,58.57,30.75,,59.11,38.06,26.03,37.98,39.93,59.01,41.69,58.39,31.38,37.65,53.42,32.18,30.41,40.84,39.58,56.07
India,Arunachal Pradesh,Kurung Kumey,"Calendar Year (Jan - Dec), 2021",5,63,825,42.88,44.71,44.95,42.28,41.27,48.12,42.4,41.56,34.62,45.64,43.84,55.92,29.38,,52.05,36.2,24.81,42.46,32.4,51.9,36.36,52.43,29.21,22.53,40.22,27.14,31.27,34.49,38.5,44.37
India,Arunachal Pradesh,Leparada,"Calendar Year (Jan - Dec), 2021",5,54,717,45.28,53.28,56.93,55.05,50.81,51.81,47.37,36.79,49.4,61.46,50.19,59.66,36.57,,54.54,44.84,26.42,42.13,45.01,61.95,44.82,60.54,32.6,34.98,49.38,34.26,33.65,37.33,39.79,53.39
India,Arunachal Pradesh,Lohit,"Calendar Year (Jan - Dec), 2021",5,84,1626,42.96,38.55,46.9,44.31,46.46,42.58,45.24,43.66,34.4,49.02,45.35,51.91,29.83,,49.21,37.53,28.8,30.29,36.11,52.51,41.5,44.54,28.44,31.45,44.7,28.74,25.37,29.67,42.17,39
India,Arunachal Pradesh,Longding,"Calendar Year (Jan - Dec), 2021",5,78,1641,29.4,42.59,35.44,38.02,31.52,38.66,33.95,33.33,30.89,41.51,36.87,37.36,26.71,,38.76,29.14,25.3,31.41,28.39,39.87,29.85,36.03,26.47,32.53,34.97,27.45,26.73,25.73,31.22,26.91
India,Arunachal Pradesh,Lower Dibang Valley,"Calendar Year (Jan - Dec), 2021",5,75,1476,43.84,45.77,49.17,46.91,43.59,39.12,40.76,34.35,34.25,52.86,40.72,53.73,30.82,,49.47,35.47,23.81,39.24,34.33,52.93,39.55,52.89,31.24,32.09,44.82,34.49,27.5,29.26,39.01,46.24
India,Arunachal Pradesh,Lower Siang,"Calendar Year (Jan - Dec), 2021",5,57,849,38.05,37.84,43.73,40.58,44.19,40.95,37.61,36.84,35.07,47.33,40.47,42.23,33.75,,42.98,35.99,28.84,33.39,36.08,47.35,38.89,48.48,32.52,33.04,49.13,36.03,33.01,30,30.75,40.04
India,Arunachal Pradesh,Lower Subansiri,"Calendar Year (Jan - Dec), 2021",5,81,1443,49.93,49.36,53.25,53.24,44.69,48.52,44.22,34.89,40.73,56.97,44.96,60.79,36.25,,58.17,38.14,23.46,42.56,33.63,54.56,37.31,58.96,30.21,29.23,39.81,21.34,26.42,27.76,36.07,49.23
India,Arunachal Pradesh,Namsai,"Calendar Year (Jan - Dec), 2021",5,84,1536,37.88,38.86,39.4,39.5,42.55,42.77,42.95,32.04,38.79,50.43,41.44,42.18,28.67,,42.91,37.46,22.97,32.57,33.91,44.76,35.2,46.37,31.63,32.77,42.05,29.49,29.79,32.21,36.97,37.94
